ID,Brand,Produk,Jenis Produk,Untuk Kulit,Masalah Kulit,Ukuran,Tipe Bahan Aktif,Tahun Rilis
1,Avoskin,Tea Tree Spot Gel,Essence,Berminyak,Jerawat,100 ml,Bakuchiol,2021
2,Dear Me Beauty,Bakuchiol Night Cream,Essence,Kering,Dehidrasi,50 ml,Hyaluronic Acid,2023
3,Somethinc,Glow Boost Serum,Gel,Berminyak,Flek hitam,30 ml,Salicylic Acid,2018
4,COSRX,Acne Treatment Serum,Cleanser,Berminyak,Iritasi,100 ml,Bakuchiol,2018
5,The Ordinary,Tea Tree Spot Gel,Sunscreen,Berminyak,Kusam,100 ml,Hyaluronic Acid,2022
6,Dear Me Beauty,Acne Treatment Serum,Serum,Kering,Dehidrasi,20 ml,Hyaluronic Acid,2023
7,Scarlett,Salicylic Acid Daily Gentle Cleanser,Serum,Sensitif,Flek hitam,100 ml,Hyaluronic Acid,2019
8,Avoskin,Acne Treatment Serum,Sunscreen,Kering,Kusam,30 ml,Ceramide,2018
9,Emina,Advanced Snail 96 Mucin Essence,Cream,Kering,Iritasi,20 ml,Retinol,2021
10,The Ordinary,Bakuchiol Night Cream,Serum,Normal,Flek hitam,50 ml,Salicylic Acid,2023
11,Avoskin,Glow Boost Serum,Moisturizer,Kering,Jerawat,100 ml,Salicylic Acid,2018
12,Somethinc,Miraculous Retinol Ampoule,Sunscreen,Normal,Kusam,100 ml,Salicylic Acid,2020
13,Somethinc,Brightening Facial Wash,Toner,Berminyak,Pori besar,100 ml,Niacinamide,2021
14,Avoskin,Luminous Whitening Night Cream,Essence,Kombinasi,Pori besar,50 ml,Ceramide,2021
15,The Ordinary,Hydra Boost Essence,Gel,Berminyak,Dehidrasi,30 ml,Ceramide,2021
16,Skintific,Green Tea Balancing Toner,Essence,Kering,Dehidrasi,20 ml,Ceramide,2018
17,Sensatia Botanicals,Daily Sunscreen SPF 50 PA+++,Cleanser,Kering,Dehidrasi,50 ml,Hyaluronic Acid,2022
18,Emina,Acne Treatment Serum,Gel,Berminyak,Kusam,20 ml,Bakuchiol,2022
19,Avoskin,Retinol Night Serum,Essence,Kombinasi,Pori besar,30 ml,Retinol,2023
20,The Ordinary,Bakuchiol Night Cream,Moisturizer,Normal,Bekas jerawat,50 ml,Salicylic Acid,2021
21,Skintific,Hydrating Aloe Vera Gel,Cleanser,Kombinasi,Jerawat,30 ml,Ceramide,2021
22,Avoskin,Miraculous Retinol Ampoule,Cream,Kombinasi,Jerawat,30 ml,Vitamin C,2022
23,Avoskin,Bakuchiol Night Cream,Moisturizer,Berminyak,Iritasi,20 ml,Vitamin C,2020
24,Somethinc,Niacinamide 10% + Zinc 1%,Sunscreen,Berminyak,Kusam,20 ml,Tea Tree,2019
25,COSRX,Luminous Whitening Night Cream,Cleanser,Sensitif,Iritasi,50 ml,Salicylic Acid,2018
26,Avoskin,Vitamin C Serum,Moisturizer,Kering,Kusam,50 ml,Tea Tree,2023
27,Wardah,Luminous Whitening Night Cream,Cleanser,Berminyak,Flek hitam,20 ml,Niacinamide,2018
28,Wardah,Green Tea Balancing Toner,Toner,Normal,Dehidrasi,50 ml,Tea Tree,2019
29,Emina,Tea Tree Spot Gel,Moisturizer,Sensitif,Bekas jerawat,50 ml,Ceramide,2022
